dataset,eps_fraction,eps_abs,min_samples,auto_eps,true_contam,auc_roc,auc_roc_std,auc_pr,auc_pr_std,f1,f1_std
arrhythmia,1.0,23.0796,5,23.0796,0.14601769911504425,0.769153557065645,0.07447639674234405,0.4330751003893534,0.11364323933444354,0.32553884711779446,0.07840320076575163
arrhythmia,1.0,23.0796,7,23.0796,0.14601769911504425,0.769153557065645,0.07447639674234405,0.4330751003893534,0.11364323933444354,0.32553884711779446,0.07840320076575163
arrhythmia,1.0,23.0796,10,23.0796,0.14601769911504425,0.769153557065645,0.07447639674234405,0.4330751003893534,0.11364323933444354,0.32553884711779446,0.07840320076575163
arrhythmia,1.0,23.0796,15,23.0796,0.14601769911504425,0.7693533572654452,0.07463295435477381,0.43538279269704566,0.1144203564680049,0.32553884711779446,0.07840320076575163
arrhythmia,1.0,23.0796,20,23.0796,0.14601769911504425,0.7693533572654452,0.07463295435477381,0.43538279269704566,0.1144203564680049,0.32553884711779446,0.07840320076575163
arrhythmia,1.5,34.6194,2,23.0796,0.14601769911504425,0.7683569178074674,0.07564269834681583,0.4253827926970457,0.13242951745187825,0.15499999999999997,0.09683892697555967
arrhythmia,1.5,34.6194,3,23.0796,0.14601769911504425,0.7683569178074674,0.07564269834681583,0.4253827926970457,0.13242951745187825,0.15499999999999997,0.09683892697555967
arrhythmia,1.5,34.6194,5,23.0796,0.14601769911504425,0.7683569178074674,0.07564269834681583,0.4253827926970457,0.13242951745187825,0.15499999999999997,0.09683892697555967
arrhythmia,1.5,34.6194,7,23.0796,0.14601769911504425,0.7683569178074674,0.07564269834681583,0.4253827926970457,0.13242951745187825,0.15499999999999997,0.09683892697555967
arrhythmia,1.5,34.6194,10,23.0796,0.14601769911504425,0.7683569178074674,0.07564269834681583,0.4253827926970457,0.13242951745187825,0.15499999999999997,0.09683892697555967
arrhythmia,1.5,34.6194,15,23.0796,0.14601769911504425,0.7683569178074674,0.07564269834681583,0.4253827926970457,0.13242951745187825,0.15499999999999997,0.09683892697555967
arrhythmia,1.5,34.6194,20,23.0796,0.14601769911504425,0.7683569178074674,0.07564269834681583,0.4253827926970457,0.13242951745187825,0.15499999999999997,0.09683892697555967
arrhythmia,2.0,46.1592,2,23.0796,0.14601769911504425,0.7683569178074674,0.07564269834681583,0.4253827926970457,0.13242951745187825,0.026666666666666665,0.05333333333333333
